2026-05-30T23:34:24.682836559Z [inf]  Starting Container
2026-05-30T23:35:55.088994762Z [inf]    inning: 2,
2026-05-30T23:35:55.089001774Z [inf]    inningState: 'Top',
2026-05-30T23:35:55.089008444Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:35:55.089015440Z [inf]  }
2026-05-30T23:35:56.095161043Z [inf]    signature: 'I|In Progress||||0|0|0|1|0|0|0|0||',
2026-05-30T23:35:56.095180407Z [inf]    forwarded: 1
2026-05-30T23:35:56.095190588Z [inf]  }
2026-05-30T23:35:56.095199102Z [inf]  [sports-favs] mlb live-activity update gamePk=824513 tokenCount=1 date=2026-05-30
2026-05-30T23:35:56.095219715Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:35:56.095233572Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:35:56.095244529Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:35:56.095255100Z [inf]    gamePk: '824513',
2026-05-30T23:35:56.095263669Z [inf]    tokenCount: 1,
2026-05-30T23:36:00.018472983Z [inf]  }
2026-05-30T23:36:00.018720121Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 1 }
2026-05-30T23:36:00.018726918Z [inf]  [baseball live-activity] fetch-start {
2026-05-30T23:36:00.018732991Z [inf]    gamePk: '824513',
2026-05-30T23:36:00.018739131Z [inf]    url: 'https://statsapi.mlb.com/api/v1.1/game/824513/feed/live'
2026-05-30T23:36:00.022930952Z [inf]  [baseball live-activity] fetch-done {
2026-05-30T23:36:00.022937619Z [inf]    gamePk: '824513',
2026-05-30T23:36:00.022947650Z [inf]    found: true,
2026-05-30T23:36:00.022953849Z [inf]    hasLinescore: true,
2026-05-30T23:36:00.022960851Z [inf]    currentInning: 2,
2026-05-30T23:36:00.022966997Z [inf]    inningState: 'Top'
2026-05-30T23:36:00.022973638Z [inf]  }
2026-05-30T23:36:00.022979951Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:36:00.022986057Z [inf]    gamePk: '824513',
2026-05-30T23:36:00.022996693Z [inf]    tokens: 1,
2026-05-30T23:36:00.023003093Z [inf]    shouldSend: true,
2026-05-30T23:36:00.023009259Z [inf]    status: 'I',
2026-05-30T23:36:00.023031746Z [inf]    inning: 2,
2026-05-30T23:36:00.023039330Z [inf]    inningState: 'Top',
2026-05-30T23:36:00.023044494Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:36:00.023049206Z [inf]  }
2026-05-30T23:36:00.028434188Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:36:00.056397360Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:36:00.056414473Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:36:00.056422838Z [inf]    gamePk: '824513',
2026-05-30T23:36:00.056430821Z [inf]    tokenCount: 1,
2026-05-30T23:36:00.056438183Z [inf]    signature: 'I|In Progress|2|2nd|top|0|1|2|1|0|0|1|0|Jorge Mateo|Brady Singer',
2026-05-30T23:36:00.056445931Z [inf]    forwarded: 1
2026-05-30T23:36:00.056454989Z [inf]  }
2026-05-30T23:36:05.015338268Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 1 }
2026-05-30T23:36:05.015351262Z [inf]  [baseball live-activity] fetch-start {
2026-05-30T23:36:05.015358697Z [inf]    gamePk: '824513',
2026-05-30T23:36:05.015364615Z [inf]    url: 'https://statsapi.mlb.com/api/v1.1/game/824513/feed/live'
2026-05-30T23:36:05.015370722Z [inf]  }
2026-05-30T23:36:05.015376354Z [inf]  [baseball live-activity] fetch-done {
2026-05-30T23:36:05.015381221Z [inf]    gamePk: '824513',
2026-05-30T23:36:05.015386350Z [inf]    found: true,
2026-05-30T23:36:05.015391324Z [inf]    hasLinescore: true,
2026-05-30T23:36:05.015396359Z [inf]    currentInning: 2,
2026-05-30T23:36:05.015400992Z [inf]    inningState: 'Top'
2026-05-30T23:36:05.015405841Z [inf]  }
2026-05-30T23:36:05.015415041Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:36:05.015419830Z [inf]    gamePk: '824513',
2026-05-30T23:36:05.015424891Z [inf]    tokens: 1,
2026-05-30T23:36:05.015429699Z [inf]    shouldSend: false,
2026-05-30T23:36:05.015434393Z [inf]    status: 'I',
2026-05-30T23:36:05.015439868Z [inf]    inning: 2,
2026-05-30T23:36:05.015444519Z [inf]    inningState: 'Top',
2026-05-30T23:36:05.015448667Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:36:05.015453214Z [inf]  }
2026-05-30T23:36:05.015459847Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:36:05.037285034Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:36:05.037294658Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:36:05.037302696Z [inf]    gamePk: '824513',
2026-05-30T23:36:05.037308272Z [inf]    tokenCount: 1,
2026-05-30T23:36:05.037314373Z [inf]    signature: 'I|In Progress||||0|0|0|1|0|0|0|0||',
2026-05-30T23:36:05.037325584Z [inf]    forwarded: 1
2026-05-30T23:36:05.037332101Z [inf]  }
2026-05-30T23:36:05.037337156Z [inf]  [sports-favs] mlb live-activity update gamePk=824513 tokenCount=1 date=2026-05-30
2026-05-30T23:36:09.948533488Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 1 }
2026-05-30T23:36:09.948538051Z [inf]  [baseball live-activity] fetch-start {
2026-05-30T23:36:09.948542466Z [inf]    gamePk: '824513',
2026-05-30T23:36:09.948546569Z [inf]    url: 'https://statsapi.mlb.com/api/v1.1/game/824513/feed/live'
2026-05-30T23:36:09.948552079Z [inf]  }
2026-05-30T23:36:09.950445798Z [inf]  [baseball live-activity] fetch-done {
2026-05-30T23:36:09.950453530Z [inf]    gamePk: '824513',
2026-05-30T23:36:09.950461999Z [inf]    found: true,
2026-05-30T23:36:09.950466206Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:36:09.950473420Z [inf]  }
2026-05-30T23:36:09.950480822Z [inf]    hasLinescore: true,
2026-05-30T23:36:09.950487249Z [inf]    currentInning: 2,
2026-05-30T23:36:09.950506742Z [inf]    inningState: 'Top'
2026-05-30T23:36:09.950512620Z [inf]  }
2026-05-30T23:36:09.950519418Z [inf]    tokens: 1,
2026-05-30T23:36:09.950519891Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:36:09.950526711Z [inf]    gamePk: '824513',
2026-05-30T23:36:09.950528113Z [inf]    shouldSend: true,
2026-05-30T23:36:09.950534665Z [inf]    status: 'M',
2026-05-30T23:36:09.950540340Z [inf]    inning: 2,
2026-05-30T23:36:09.950546362Z [inf]    inningState: 'Top',
2026-05-30T23:36:09.952226445Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:36:10.099139057Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:36:10.099150253Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:36:10.099157008Z [inf]    gamePk: '824513',
2026-05-30T23:36:10.099164560Z [inf]    tokenCount: 1,
2026-05-30T23:36:10.099171023Z [inf]    signature: 'M|Manager challenge: Tag play|2|2nd|top|0|1|2|1|0|0|1|0|Jorge Mateo|Brady Singer',
2026-05-30T23:36:10.099177587Z [inf]    forwarded: 1
2026-05-30T23:36:10.099189946Z [inf]  }
2026-05-30T23:36:15.172655668Z [inf]    forwarded: 1
2026-05-30T23:36:15.172662418Z [inf]  }
2026-05-30T23:36:15.172673466Z [inf]  [sports-favs] mlb live-activity update gamePk=824513 tokenCount=1 date=2026-05-30
2026-05-30T23:36:15.172685132Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:36:15.172691012Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 1 }
2026-05-30T23:36:15.172693417Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:36:15.172698560Z [inf]  [baseball live-activity] fetch-start {
2026-05-30T23:36:15.172701400Z [inf]    gamePk: '824513',
2026-05-30T23:36:15.172705927Z [inf]    gamePk: '824513',
2026-05-30T23:36:15.172709482Z [inf]    tokenCount: 1,
2026-05-30T23:36:15.172712374Z [inf]    url: 'https://statsapi.mlb.com/api/v1.1/game/824513/feed/live'
2026-05-30T23:36:15.172717684Z [inf]  }
2026-05-30T23:36:15.172718334Z [inf]    signature: 'M|Manager challenge: Tag play|2|2nd|top|0|1|2|1|0|0|1|0|Jorge Mateo|Brady Singer',
2026-05-30T23:36:15.172722931Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:36:15.172726631Z [inf]    forwarded: 1
2026-05-30T23:36:15.172728306Z [inf]  [baseball live-activity] fetch-done {
2026-05-30T23:36:15.172733620Z [inf]    gamePk: '824513',
2026-05-30T23:36:15.172735627Z [inf]  }
2026-05-30T23:36:15.172738877Z [inf]    found: true,
2026-05-30T23:36:15.172742846Z [inf]    hasLinescore: true,
2026-05-30T23:36:15.172746884Z [inf]    currentInning: 2,
2026-05-30T23:36:15.172750613Z [inf]    inningState: 'Top'
2026-05-30T23:36:15.172755338Z [inf]  }
2026-05-30T23:36:15.172760622Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:36:15.172764546Z [inf]    gamePk: '824513',
2026-05-30T23:36:15.172768769Z [inf]    tokens: 1,
2026-05-30T23:36:15.172772527Z [inf]    shouldSend: true,
2026-05-30T23:36:15.172776635Z [inf]    status: 'M',
2026-05-30T23:36:15.172780626Z [inf]    inning: 2,
2026-05-30T23:36:15.172784501Z [inf]    inningState: 'Top',
2026-05-30T23:36:15.172788133Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:36:15.172791775Z [inf]  }
2026-05-30T23:36:15.172796539Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:36:15.172800320Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:36:15.172835196Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:36:15.172841878Z [inf]    gamePk: '824513',
2026-05-30T23:36:15.172853342Z [inf]    tokenCount: 1,
2026-05-30T23:36:15.172859090Z [inf]    signature: 'I|In Progress||||0|0|0|1|0|0|0|0||',
2026-05-30T23:36:20.043307351Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 1 }
2026-05-30T23:36:20.043312830Z [inf]  [baseball live-activity] fetch-start {
2026-05-30T23:36:20.043318613Z [inf]    gamePk: '824513',
2026-05-30T23:36:20.043324429Z [inf]    url: 'https://statsapi.mlb.com/api/v1.1/game/824513/feed/live'
2026-05-30T23:36:20.043330330Z [inf]  }
2026-05-30T23:36:20.098369454Z [inf]  [baseball live-activity] fetch-done {
2026-05-30T23:36:20.098374702Z [inf]    gamePk: '824513',
2026-05-30T23:36:20.098380669Z [inf]    found: true,
2026-05-30T23:36:20.098386529Z [inf]    hasLinescore: true,
2026-05-30T23:36:20.098392045Z [inf]    currentInning: 2,
2026-05-30T23:36:20.098397243Z [inf]    inningState: 'Top'
2026-05-30T23:36:20.098402576Z [inf]  }
2026-05-30T23:36:20.098407869Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:36:20.098413031Z [inf]    gamePk: '824513',
2026-05-30T23:36:20.098418646Z [inf]    tokens: 1,
2026-05-30T23:36:20.098423979Z [inf]    shouldSend: false,
2026-05-30T23:36:20.098429655Z [inf]    status: 'M',
2026-05-30T23:36:20.098434909Z [inf]    inning: 2,
2026-05-30T23:36:20.098440181Z [inf]    inningState: 'Top',
2026-05-30T23:36:20.098445896Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:36:20.098451588Z [inf]  }
2026-05-30T23:36:20.140549622Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:36:20.272165281Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:36:20.272172870Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:36:20.272177622Z [inf]    gamePk: '824513',
2026-05-30T23:36:20.272182505Z [inf]    tokenCount: 1,
2026-05-30T23:36:20.272187419Z [inf]    signature: 'M|Manager challenge||||0|0|0|1|0|0|0|0||',
2026-05-30T23:36:20.272192487Z [inf]    forwarded: 1
2026-05-30T23:36:20.272197845Z [inf]  }
2026-05-30T23:36:20.272202048Z [inf]  [sports-favs] mlb live-activity update gamePk=824513 tokenCount=1 date=2026-05-30
2026-05-30T23:36:25.215712875Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 1 }
2026-05-30T23:36:25.215725831Z [inf]  [baseball live-activity] fetch-start {
2026-05-30T23:36:25.215733739Z [inf]    gamePk: '824513',
2026-05-30T23:36:25.215741197Z [inf]    url: 'https://statsapi.mlb.com/api/v1.1/game/824513/feed/live'
2026-05-30T23:36:25.215748226Z [inf]  }
2026-05-30T23:36:25.215757162Z [inf]  [baseball live-activity] fetch-done {
2026-05-30T23:36:25.215765313Z [inf]    gamePk: '824513',
2026-05-30T23:36:25.215771666Z [inf]    found: true,
2026-05-30T23:36:25.215779794Z [inf]    hasLinescore: true,
2026-05-30T23:36:25.216163250Z [inf]    currentInning: 2,
2026-05-30T23:36:25.216178436Z [inf]    inningState: 'Top'
2026-05-30T23:36:25.216185838Z [inf]  }
2026-05-30T23:36:25.216192214Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:36:25.216199467Z [inf]    gamePk: '824513',
2026-05-30T23:36:25.216207700Z [inf]    tokens: 1,
2026-05-30T23:36:25.216213905Z [inf]    shouldSend: true,
2026-05-30T23:36:25.216222268Z [inf]    status: 'M',
2026-05-30T23:36:25.216230447Z [inf]    inning: 2,
2026-05-30T23:36:25.216238482Z [inf]    inningState: 'Top',
2026-05-30T23:36:25.216246027Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:36:25.216252553Z [inf]  }
2026-05-30T23:36:25.216259649Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:36:25.216266675Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:36:25.216273620Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:36:25.216281100Z [inf]    gamePk: '824513',
2026-05-30T23:36:25.216287439Z [inf]    tokenCount: 1,
2026-05-30T23:36:25.216293460Z [inf]    signature: 'M|Manager challenge: Tag play|2|2nd|top|0|1|2|1|0|0|1|0|Jorge Mateo|Brady Singer',
2026-05-30T23:36:25.216300188Z [inf]    forwarded: 1
2026-05-30T23:36:25.217492651Z [inf]  }
2026-05-30T23:36:30.439135117Z [inf]    hasLinescore: true,
2026-05-30T23:36:30.439145649Z [inf]    currentInning: 2,
2026-05-30T23:36:30.439148413Z [inf]    gamePk: '824513',
2026-05-30T23:36:30.439155727Z [inf]    inningState: 'Top'
2026-05-30T23:36:30.439161567Z [inf]    tokenCount: 1,
2026-05-30T23:36:30.439167016Z [inf]  }
2026-05-30T23:36:30.439175315Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:36:30.439183462Z [inf]    gamePk: '824513',
2026-05-30T23:36:30.439191547Z [inf]    tokens: 1,
2026-05-30T23:36:30.439198611Z [inf]    shouldSend: false,
2026-05-30T23:36:30.439206763Z [inf]    status: 'M',
2026-05-30T23:36:30.439215865Z [inf]    inning: 2,
2026-05-30T23:36:30.439223038Z [inf]    inningState: 'Top',
2026-05-30T23:36:30.439233214Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:36:30.439240993Z [inf]  }
2026-05-30T23:36:30.439248662Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:36:30.439255566Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:36:30.439262057Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:36:30.439362016Z [inf]    signature: 'M|Manager challenge||||0|0|0|1|0|0|0|0||',
2026-05-30T23:36:30.439374077Z [inf]    forwarded: 1
2026-05-30T23:36:30.439469066Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 1 }
2026-05-30T23:36:30.439475923Z [inf]  [baseball live-activity] fetch-start {
2026-05-30T23:36:30.439484011Z [inf]    gamePk: '824513',
2026-05-30T23:36:30.439491414Z [inf]    url: 'https://statsapi.mlb.com/api/v1.1/game/824513/feed/live'
2026-05-30T23:36:30.439499165Z [inf]  }
2026-05-30T23:36:30.439506558Z [inf]  [baseball live-activity] fetch-done {
2026-05-30T23:36:30.439513575Z [inf]    gamePk: '824513',
2026-05-30T23:36:30.439520537Z [inf]    found: true,
2026-05-30T23:36:30.442319755Z [inf]  }
2026-05-30T23:36:30.442330121Z [inf]  [sports-favs] mlb live-activity update gamePk=824513 tokenCount=1 date=2026-05-30
2026-05-30T23:36:34.916976516Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 1 }
2026-05-30T23:36:34.916982488Z [inf]  [baseball live-activity] fetch-start {
2026-05-30T23:36:34.917001542Z [inf]  }
2026-05-30T23:36:34.951709084Z [inf]    inningState: 'Top',
2026-05-30T23:36:34.951718748Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:36:34.951724507Z [inf]  }
2026-05-30T23:36:34.951727106Z [inf]    found: true,
2026-05-30T23:36:34.951732651Z [inf]    hasLinescore: true,
2026-05-30T23:36:34.951736790Z [inf]    currentInning: 2,
2026-05-30T23:36:34.951741608Z [inf]    inningState: 'Top'
2026-05-30T23:36:34.951747147Z [inf]  }
2026-05-30T23:36:34.951751322Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:36:34.951755515Z [inf]    gamePk: '824513',
2026-05-30T23:36:34.951759657Z [inf]    tokens: 1,
2026-05-30T23:36:34.951767413Z [inf]    status: 'M',
2026-05-30T23:36:35.086737952Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:36:35.086750665Z [inf]    gamePk: '824513',
2026-05-30T23:36:35.086756292Z [inf]    tokenCount: 1,
2026-05-30T23:36:35.086795871Z [inf]    signature: 'M|Manager challenge: Tag play|2|2nd|top|0|1|2|1|0|0|1|0|Jorge Mateo|Brady Singer',
2026-05-30T23:36:35.086800828Z [inf]    forwarded: 1
2026-05-30T23:36:35.086805801Z [inf]  }
2026-05-30T23:36:40.075788447Z [inf]    gamePk: '824513',
2026-05-30T23:36:40.075797804Z [inf]  }
2026-05-30T23:36:40.075802826Z [inf]  [baseball live-activity] fetch-done {
2026-05-30T23:36:40.075807230Z [inf]    gamePk: '824513',
2026-05-30T23:36:40.075812794Z [inf]    found: true,
2026-05-30T23:36:40.075833076Z [inf]    inningState: 'Top'
2026-05-30T23:36:40.075847858Z [inf]    gamePk: '824513',
2026-05-30T23:36:40.075853437Z [inf]    tokens: 1,
2026-05-30T23:36:40.075858721Z [inf]    shouldSend: false,
2026-05-30T23:36:40.075863437Z [inf]    status: 'M',
2026-05-30T23:36:40.075867402Z [inf]    inning: 2,
2026-05-30T23:36:40.075871360Z [inf]    inningState: 'Top',
2026-05-30T23:36:40.075875205Z [inf]    scores: { away: 1, home: 0 }
2026-05-30T23:36:40.075879099Z [inf]  }
2026-05-30T23:36:40.083785403Z [inf]  [sports-favs] mlb live-activity update gamePk=824513 tokenCount=1 date=2026-05-30
2026-05-30T23:36:40.083878369Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:36:40.083882546Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:36:40.083891323Z [inf]    tokenCount: 1,
2026-05-30T23:36:40.083895777Z [inf]    signature: 'M|Manager challenge||||0|0|0|1|0|0|0|0||',
2026-05-30T23:36:40.083900640Z [inf]    forwarded: 1
2026-05-30T23:36:40.083905316Z [inf]  }
2026-05-30T23:36:45.097820708Z [inf]    inning: 2,
2026-05-30T23:36:45.097827708Z [inf]    inningState: 'Top',
2026-05-30T23:36:45.097855739Z [inf]  [baseball live-activity] apns-connect { deviceToken: '408b40ff', attempt: 1 }
2026-05-30T23:36:45.097906091Z [inf]    gamePk: '824513',
2026-05-30T23:36:45.097911319Z [inf]    found: true,
2026-05-30T23:36:45.097917260Z [inf]    hasLinescore: true,
2026-05-30T23:36:45.097923302Z [inf]    currentInning: 2,
2026-05-30T23:36:45.097942962Z [inf]  [baseball live-activity] game-check {
2026-05-30T23:36:45.097948625Z [inf]    gamePk: '824513',
2026-05-30T23:36:45.189955981Z [inf]  [baseball live-activity] apns-response { deviceToken: '408b40ff', status: 200 }
2026-05-30T23:36:45.189965060Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:36:45.189987243Z [inf]    gamePk: '824513',
2026-05-30T23:36:45.190001440Z [inf]    signature: 'M|Manager challenge: Tag play|2|2nd|top|0|1|2|1|0|0|1|0|Jorge Mateo|Brady Singer',
2026-05-30T23:36:45.207062562Z [inf]  }
2026-05-30T23:36:45.207104333Z [inf]  [baseball live-activity] update-sent {
2026-05-30T23:36:45.207123725Z [inf]    tokenCount: 1,
2026-05-30T23:36:45.207131914Z [inf]    signature: 'M|Manager challenge||||0|0|0|1|0|0|0|0||',
2026-05-30T23:36:45.207139705Z [inf]    forwarded: 1
